Company;Symbol;Valor Number;Country;Traded Currency;Trading platform;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing;Opting Clause
Barry Callebaut AG;BARN;900296;CH;CHF;XSWX;Registered Share;0.02;International Reporting Standard;IFRS;14.12.2022;31.08.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
Basellandschaftliche Kantonalbank;BLKB;147355;CH;CHF;XSWX;Participation Certificate;100.00;Swiss Reporting Standard;Bank law;;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Basilea Pharmaceutica AG;BSLN;1143244;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;US GAAP;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Basler Kantonalbank;BSKP;923646;CH;CHF;XSWX;Participation Certificate;8.50;Swiss Reporting Standard;Bank law;;31.12.;KPMG AG - CH[501403];No;;TRUE;
Baxter International Inc.;BAX;911702;US;CHF;XSWX;Registered Share;1.00;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;No;;FALSE;
BB Biotech AG;BION;3838999;CH;CHF;XSWX;Registered Share;0.20;Standard for Investment Companies;IFRS;23.03.2023;31.12.;Deloitte AG - CH[500420];No;;TRUE;Out
BELIMO Holding AG;BEAN;110109816;CH;CHF;XSWX;Registered Share;0.05;International Reporting Standard;IFRS;27.03.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;
Bell Food Group AG;BELL;31596632;CH;CHF;XSWX;Registered Share;0.50;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
Bellevue Group AG;BBN;2842210;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Bergbahnen Engelberg-Trübsee-Titlis AG;TIBN;52704495;CH;CHF;XSWX;Registered Share;0.04;Swiss Reporting Standard;Swiss GAAP FER;24.02.2023;31.10.;BDO AG - CH[500705];No;;TRUE;
Berner Kantonalbank AG;BEKN;969160;CH;CHF;XSWX;Registered Share;20.00;Swiss Reporting Standard;Bank law;16.05.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;Out
BKW AG;BKW;13029366;CH;CHF;XSWX;Registered Share;2.50;International Reporting Standard;IFRS;15.05.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Up
Blackstone Resources AG;BLS;46002711;CH;CHF;XSWX;Registered Share;0.50;International Reporting Standard;IFRS;;31.12.;;No;;TRUE;
Bobst Group SA;BOBNN;1268465;CH;CHF;XSWX;Registered Share;1.00;Swiss Reporting Standard;Swiss GAAP FER;30.03.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;Out
Bossard Holding AG;BOSN;23862714;CH;CHF;XSWX;Registered Share;5.00;Swiss Reporting Standard;Swiss GAAP FER;17.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Bucher Industries AG;BUCN;243217;CH;CHF;XSWX;Registered Share;0.20;Swiss Reporting Standard;Swiss GAAP FER;19.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Up
Burckhardt Compression Holding AG;BCHN;2553602;CH;CHF;XSWX;Registered Share;2.50;Swiss Reporting Standard;Swiss GAAP FER;;31.03.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Burkhalter Holding AG;BRKN;21225580;CH;CHF;XSWX;Registered Share;0.04;Swiss Reporting Standard;Swiss GAAP FER;16.05.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;
BVZ Holding AG;BVZN;820735;CH;CHF;XSWX;Registered Share;100.00;Swiss Reporting Standard;Swiss GAAP FER;20.04.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
Bystronic AG;BYS;24401750;CH;CHF;XSWX;Registered Share;2.00;Swiss Reporting Standard;Swiss GAAP FER;19.04.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
Calida Holding AG;CALN;12663946;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;25.04.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;
Carlo Gavazzi Holding AG;GAV;1100359;CH;CHF;XSWX;Bearer Share;15.00;International Reporting Standard;IFRS;26.07.2022;31.03.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Castle Private Equity AG;CPEN;4885474;CH;CHF;XSWX;Registered Share;0.05;Standard for Investment Companies;IFRS;16.05.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Caterpillar Inc.;CAT;916546;US;CHF;XSWX;Registered Share;1.00;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;No;;FALSE;
Cembra Money Bank AG;CMBN;22517316;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;US GAAP;;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
Chocoladefabriken Lindt & Sprüngli AG;LISN;1057075;CH;CHF;XSWX;Registered Share;100.00;International Reporting Standard;IFRS;20.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Chocoladefabriken Lindt & Sprüngli AG;LISP;1057076;CH;CHF;XSWX;Participation Certificate;10.00;International Reporting Standard;IFRS;20.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
CI Com SA;CIE;162581;CH;CHF;XSWX;Bearer Share;20.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PKF CERTIFICA SA - CH[504736];No;;TRUE;Out
Cicor Technologies Ltd.;CICN;870219;CH;CHF;XSWX;Registered Share;10.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;KPMG AG - CH[501403];No;;TRUE;
Clariant AG;CLN;1214263;CH;CHF;XSWX;Registered Share;3.00;International Reporting Standard;IFRS;04.04.2023;31.12.;KPMG  AG Zürich - CH[059826];No;;TRUE;
COLTENE Holding AG;CLTN;2534325;CH;CHF;XSWX;Registered Share;0.10;Swiss Reporting Standard;Swiss GAAP FER;19.04.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
